id,title,organization,hazard_types,exposure_categories,analysis_types,return_periods,signal_strength,hevl_combo
30b85665-4c3d-4dc3-b543-3a567a3dea37,Global Drought Hazard,Institute for International Law of Peace and Armed Conflict,drought,,probabilistic|deterministic,25|50|100|250|500|1000,20,H---
beff3cae-1730-473b-8047-400bcfc3a657,"Haiti: Integrated Context Analysis (ICA), 2017",WFP - World Food Programme,flood|landslide|drought|strong_wind|convective_storm,population,probabilistic|deterministic|empirical,,19,HE--
d1f36397-fb1f-410e-bcd5-06351f4d1cdd,"United Republic of Tanzania: Integrated Context Analysis (ICA), 2015",WFP - World Food Programme,flood|landslide|drought,population|agriculture,probabilistic|deterministic|empirical,100,19,HEVL
023f40d9-fc72-4ae0-ac9b-deb71304be28,Mozambique - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
03ac94aa-fd4c-498a-bcec-9440a0dce460,Mauritius - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
049b2c78-21c6-4713-9f0a-003a594f913c,Tonga - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
04b52c93-93cb-4800-beb8-c2679b37f6df,Japan - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
04e931c2-d2f0-492f-a5c3-55b3c503dfc4,Burundi - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
0836233d-2463-4611-9547-984cad790817,Bangladesh - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
0a056129-335a-4740-aaa8-79da4c769ac7,Mauritania - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
0cd556a3-9d8c-4b7a-a872-e04406e62fbc,Haiti - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
0d7e4a34-2fe6-4d1b-94ef-2d2f0a3ea9f9,Croatia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
0f1e5cec-9d9b-4afb-b258-71b83c6bf1ea,Malta - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
0fae044e-93f5-4920-b3ab-80ef30ed1f77,Kazakhstan - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
115ace5e-3095-4d84-b31d-340c683c12e2,Grenada - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
126fdb1d-9b43-4c53-a653-0e6f4f84f8ee,Namibia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
12a06260-8124-499a-9a72-278ef4ed1fb5,Dominican Republic - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
15afd5ff-177e-4b83-9050-674631f121ea,Saudi Arabia - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
1b60f2db-9324-4ce4-8c52-33e62ae770e5,Türkiye - Health Indicators,World Health Organization,,buildings|infrastructure|population|natural_environment|economic_indicator|development_index,probabilistic|deterministic|empirical,,18,-E-L
