dataset_id,title,organization,dataset_source,license_title,tags,groups,formats,is_osm,excluded_by_policy,rdls_candidate,rdls_components,confidence,score_hazard,score_exposure,score_vulnerability_proxy,score_loss_impact,top_signals,decision,components_override,notes
6fbfb14c-5a27-44ff-86c6-9d028756f262,Sudan People Affected by Floods,OCHA Sudan,Government of Sudan - HAC,Creative Commons Attribution International (CC BY),affected population;hazards and risk;hxl,Sudan,XLSX,False,False,True,hazard;loss_impact,medium,5,4,2,6,tag:affected population(+4)→loss_impact | tag:hazards and risk(+3)→hazard | kw:\bflood(s|ing)?\b(+2)→hazard | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\b(household|family)\b(+2)→exposure | kw:\bhousehold(s)?\b(+2)→vulnerability_proxy | kw:\baffected\b(+2)→loss_impact,,,
99687670-1f82-4b6b-86e6-70b6fee18734,Kenya - Natural Disaster Inventory Mapped by Event Type,Kenya Open Data Initiative (inactive),National Disaster preparedness centre,Public Domain / No restrictions (CC0),affected population;natural disasters,Kenya,CSV,False,False,True,hazard;exposure;loss_impact,medium,5,6,0,6,tag:affected population(+4)→loss_impact | tag:natural disasters(+3)→hazard | kw:\bflood(s|ing)?\b(+2)→hazard | kw:\binfrastructure\b(+2)→exposure | kw:\b(infrastructure|road|highway|street)\b(+2)→exposure | kw:\b(forest|woodland|wetland)\b(+2)→exposure | kw:\bloss(es)?\b(+2)→loss_impact,,,
748c0969-227d-40d2-b570-5249e427c0d0,"Thailand - Multi-sector Rapid Needs Assessment and Post-Distribution Monitoring of Cash-Based Intervention - Round 1, May 2020",UNHCR - The UN Refugee Agency,UNHCR,Other,cash voucher assistance-cva;livelihoods;needs assessment;survey,Thailand,WEB APP;PDF,False,False,True,exposure;vulnerability_proxy,medium,0,6,6,4,tag:livelihoods(+2)→vulnerability_proxy | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\b(displaced|refugee|idp)\b(+2)→exposure | kw:\b(household|family)\b(+2)→exposure | kw:\bvulnerability\b(+2)→vulnerability_proxy | kw:\bhousehold(s)?\b(+2)→vulnerability_proxy | kw:\bloss(es)?\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
acc482ab-7ef8-4135-aa20-e75e110ebf9e,Uganda Displacement Data - Multi-Hazard Response/DRR Platform [IOM DTM],International Organization for Migration (IOM),International Organization for Migration (IOM),Other,affected population;climate hazards;displacement;hxl;internally displaced persons-idp,Uganda,XLSX,False,False,True,hazard;loss_impact,medium,6,2,2,6,tag:climate hazards(+4)→hazard | tag:affected population(+4)→loss_impact | kw:\bhazard\b(+2)→hazard | kw:\b(displaced|refugee|idp)\b(+2)→exposure | kw:\bhousehold(s)?\b(+2)→vulnerability_proxy | kw:\baffected\b(+2)→loss_impact,,,
ccf5eb73-8414-4bfc-ae32-8757b12294f5,"Thailand - Multi-sector Rapid Needs Assessment and Post-Distribution Monitoring of Cash-Based Intervention - Round 2, October 2020",UNHCR - The UN Refugee Agency,UNHCR,Other,cash voucher assistance-cva;livelihoods;needs assessment;survey,Thailand,WEB APP;PDF,False,False,True,exposure;vulnerability_proxy,medium,0,6,6,4,tag:livelihoods(+2)→vulnerability_proxy | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\b(displaced|refugee|idp)\b(+2)→exposure | kw:\b(household|family)\b(+2)→exposure | kw:\bvulnerability\b(+2)→vulnerability_proxy | kw:\bhousehold(s)?\b(+2)→vulnerability_proxy | kw:\bloss(es)?\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
01602a9c-c952-4895-859f-0d45c755bdc2,"Damage assessment in Saint Martin’s Island Cox’Bazar District, Chittagong Division  as of 15 May 2023",United Nations Satellite Centre (UNOSAT),UN Operational Satellite Applications Programme (UNOSAT),Creative Commons Attribution Share-Alike (CC BY-SA),cyclones-hurricanes-typhoons;geodata,Bangladesh,GEODATABASE;SHP,False,False,True,hazard;exposure,medium,5,6,0,4,tag:cyclones-hurricanes-typhoons(+5)→hazard | tag:geodata(+2)→exposure | kw:\bbuildings?\b(+2)→exposure | kw:\b(building|structure|dwelling)\b(+2)→exposure | kw:\bdamage\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
09366f46-2ace-414b-9dfc-fee14b7ee0dd,"Building Damage Assessment in Bellavista village, Bojayá Municipality, Chocó Department, Colombia as of 17 November 2024",United Nations Satellite Centre (UNOSAT),UN Operational Satellite Applications Programme (UNOSAT),Creative Commons Attribution Share-Alike (CC BY-SA),flooding;geodata,Colombia,GEODATABASE;SHP,False,False,True,hazard;exposure,medium,5,6,0,4,tag:flooding(+5)→hazard | tag:geodata(+2)→exposure | kw:\bbuildings?\b(+2)→exposure | kw:\b(building|structure|dwelling)\b(+2)→exposure | kw:\bdamage\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
19d6cd41-212c-4092-83ee-cd05da7b81ab,"Building Damage Assesment in Sambene, Nanguasse & Muinde villages, Mecufi Posto, Mecufi District as of 17 December 2024",United Nations Satellite Centre (UNOSAT),UN Operational Satellite Applications Programme (UNOSAT),Creative Commons Attribution Share-Alike (CC BY-SA),cyclones-hurricanes-typhoons;geodata,Mozambique,GEODATABASE;SHP,False,False,True,hazard;exposure,medium,5,6,0,4,tag:cyclones-hurricanes-typhoons(+5)→hazard | tag:geodata(+2)→exposure | kw:\bbuildings?\b(+2)→exposure | kw:\b(building|structure|dwelling)\b(+2)→exposure | kw:\bdamage\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
23e2b1a3-a913-431d-bca9-c886436ecdb8,"Damage assessment along the Mukungwa river, Western & Northern Provinces, Rwanda as of 10 May 2023",United Nations Satellite Centre (UNOSAT),UN Operational Satellite Applications Programme (UNOSAT),Creative Commons Attribution Share-Alike (CC BY-SA),flooding;geodata,Rwanda,GEODATABASE;SHP,False,False,True,hazard;exposure,medium,5,6,0,4,tag:flooding(+5)→hazard | tag:geodata(+2)→exposure | kw:\broad(s)?\b(+2)→exposure | kw:\b(infrastructure|road|highway|street)\b(+2)→exposure | kw:\bdamage\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
4d6478c8-d5de-44a3-8cfa-50f95ff39b35,"Building Damage Assessment in Shyamnagar Upazila, Bagerhat District, Khulna Division, Bangladesh as of 10 June 2024",United Nations Satellite Centre (UNOSAT),UN Operational Satellite Applications Programme (UNOSAT),Creative Commons Attribution Share-Alike (CC BY-SA),cyclones-hurricanes-typhoons;geodata,Bangladesh,GEODATABASE;SHP,False,False,True,hazard;exposure,medium,5,6,0,4,tag:cyclones-hurricanes-typhoons(+5)→hazard | tag:geodata(+2)→exposure | kw:\bbuildings?\b(+2)→exposure | kw:\b(building|structure|dwelling)\b(+2)→exposure | kw:\bdamage\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
84d7dad4-c6eb-4f56-9853-70fd57aa2680,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",UNICEF Data and Analytics (HQ),"The indicator data draw on inter-agency estimates and nationally representative household surveys such as Multiple Indicator Cluster Surveys (MICS) and Demographic and Health Surveys (DHS). In addition, data from administrative sources and other United Nations organizations have been used. More detailed information on the data sources is provided at https://data.unicef.org/.",CC BY 3.0 IGO,children;covid-19;disease;health;indicators;mortality;population,World,CSV;XML,False,False,True,exposure;vulnerability_proxy,medium,0,6,5,4,tag:population(+4)→exposure | tag:mortality(+4)→loss_impact | org:UNICEF(+3)→vulnerability_proxy | tag:health(+2)→vulnerability_proxy | kw:\b(population|people|inhabitant)\b(+2)→exposure,,,
aecad740-68cc-4bf0-b8c7-e48cd2910995,"Building Damage Assesment in Sicura & Murrebe Town, Murrebue Posto, Mecufi District as of 16 December 2024",United Nations Satellite Centre (UNOSAT),UN Operational Satellite Applications Programme (UNOSAT),Creative Commons Attribution Share-Alike (CC BY-SA),cyclones-hurricanes-typhoons;geodata,Mozambique,GEODATABASE;SHP,False,False,True,hazard;exposure,medium,5,6,0,4,tag:cyclones-hurricanes-typhoons(+5)→hazard | tag:geodata(+2)→exposure | kw:\bbuildings?\b(+2)→exposure | kw:\b(building|structure|dwelling)\b(+2)→exposure | kw:\bdamage\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
c4bcec62-a48a-4903-b78f-969b6f44c6fd,"Building Damage Assessment in Riosucio Town, Riosucio Municipality, Chocó Department, Colombia as of 20 November 2024",United Nations Satellite Centre (UNOSAT),UN Operational Satellite Applications Programme (UNOSAT),Creative Commons Attribution Share-Alike (CC BY-SA),flooding;geodata,Colombia,GEODATABASE;SHP,False,False,True,hazard;exposure,medium,5,6,0,4,tag:flooding(+5)→hazard | tag:geodata(+2)→exposure | kw:\bbuildings?\b(+2)→exposure | kw:\b(building|structure|dwelling)\b(+2)→exposure | kw:\bdamage\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
eb868d4a-1885-46e9-a6b3-9d036093e1c6,"Damaged structures and related density map in Sarpol-e-Zahab, Kermanshah, Iran",United Nations Satellite Centre (UNOSAT),UNOSAT,Creative Commons Attribution Share-Alike (CC BY-SA),earthquake-tsunami;geodata,Iraq,GEODATABASE;SHP,False,False,True,hazard;exposure,medium,5,6,0,4,tag:earthquake-tsunami(+5)→hazard | tag:geodata(+2)→exposure | kw:\bbuildings?\b(+2)→exposure | kw:\b(building|structure|dwelling)\b(+2)→exposure | kw:\bdamage\b(+2)→loss_impact | kw:\baffected\b(+2)→loss_impact,,,
f4178cb5-3586-49f8-8bd7-4848235c5b97,Kenya - People affected by Elnino,Kenya Red Cross Society,Kenya Red cross Society,Public Domain / No restrictions (CC0),affected population;el nino-el nina;flooding;geodata,Kenya,XLSX;SHP,False,False,True,hazard;loss_impact,medium,5,4,0,6,tag:flooding(+5)→hazard | tag:affected population(+4)→loss_impact | tag:geodata(+2)→exposure | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\baffected\b(+2)→loss_impact,,,
0eb7c089-7b18-442a-afeb-6380ffed95f6,Afghanistan - Natural Disaster Incidents,OCHA Afghanistan,Humanitarian partners,Creative Commons Attribution International (CC BY),affected population;climate-weather;hxl,Afghanistan,XLSX;CSV,False,False,True,hazard;loss_impact,medium,6,2,0,6,tag:affected population(+4)→loss_impact | kw:\bflood(s|ing)?\b(+2)→hazard | kw:\bearthquake(s)?\b(+2)→hazard | kw:\b(flood|flooding|inundation)\b(+2)→hazard | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\baffected\b(+2)→loss_impact,,,
1e6fc369-d98f-4689-be04-fbf23739979a,Afghanistan Displacement Data - Climate Vulnerability Assessment [IOM DTM],International Organization for Migration (IOM),International Organization for Migration (IOM),Creative Commons Attribution International (CC BY),hxl;internally displaced persons-idp;population;returnees,Afghanistan,XLSX,False,False,True,hazard;exposure,medium,6,6,2,0,tag:population(+4)→exposure | kw:\bflood(s|ing)?\b(+2)→hazard | kw:\bdrought\b(+2)→hazard | kw:\b(drought|water.?scarcity|aridity)\b(+2)→hazard | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\bvulnerability\b(+2)→vulnerability_proxy,,,
3b4368e1-a9b9-4add-8701-6b167f6a30bd,Afghanistan - Natural Disaster Incidents in 2024,OCHA Afghanistan,Humanitarian partners,Creative Commons Attribution International (CC BY),affected population;climate-weather;hxl,Afghanistan,XLSX;CSV,False,False,True,hazard;loss_impact,medium,6,2,0,6,tag:affected population(+4)→loss_impact | kw:\bflood(s|ing)?\b(+2)→hazard | kw:\bearthquake(s)?\b(+2)→hazard | kw:\b(flood|flooding|inundation)\b(+2)→hazard | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\baffected\b(+2)→loss_impact,,,
4a56ede0-5e94-4b24-b1fe-0c2110ead68d,Afghanistan - Natural Disaster Incidents in 2023,OCHA Afghanistan,Humanitarian partners,Creative Commons Attribution International (CC BY),affected population;climate-weather;hxl,Afghanistan,XLSX;CSV,False,False,True,hazard;loss_impact,medium,6,2,0,6,tag:affected population(+4)→loss_impact | kw:\bflood(s|ing)?\b(+2)→hazard | kw:\bearthquake(s)?\b(+2)→hazard | kw:\b(flood|flooding|inundation)\b(+2)→hazard | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\baffected\b(+2)→loss_impact,,,
5b30fd46-5ce8-43fc-86e0-e8df438fe1b7,Nepal -CFP-reconstruction survey,Inter Agency Common Feedback Project Nepal  (inactive),Inter Agency Common Feedback Project Nepal (CFP),Creative Commons Attribution International (CC BY),community engagement;development,Nepal;Nepal Earthquake,XLSX,False,False,True,exposure,medium,4,6,2,2,kw:\bearthquake(s)?\b(+2)→hazard | kw:\b(earthquake|seismic|quake|tremor)\b(+2)→hazard | kw:\b(house|housing|residential)\b(+2)→exposure | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\b(resident|demographic|census)\b(+2)→exposure | kw:\bhousehold(s)?\b(+2)→vulnerability_proxy | kw:\baffected\b(+2)→loss_impact,,,
73ffe2b7-1108-4ca8-8ce5-3f68a8488f21,Central America - Housing and Utility Costs,Acción contra el hambre - GIS4tech,Acción contra el hambre - GIS4tech,Creative Commons Attribution International (CC BY),economics;socioeconomics,El Salvador;Guatemala;Honduras;Nicaragua,CSV,False,False,True,exposure;vulnerability_proxy,medium,0,6,6,2,tag:socioeconomics(+4)→vulnerability_proxy | kw:\b(house|housing|residential)\b(+2)→exposure | kw:\b(power.?line|electricity|grid|utility)\b(+2)→exposure | kw:\b(household|family)\b(+2)→exposure | kw:\bhousehold(s)?\b(+2)→vulnerability_proxy | kw:\bcost(s)?\b(+2)→loss_impact,,,
a9b70633-afd9-4091-8696-82b0835c8406,Philippines - Coordinates of schools in affected areas(Haiyan Typhoon),OCHA Philippines,DRRMO of the Dept of Education Manila,Other,education;education facilities-schools,Philippines,XLSX,False,False,True,exposure,medium,4,6,2,2,tag:education facilities-schools(+4)→exposure | tag:education(+2)→vulnerability_proxy | kw:\btyphoon(s)?\b(+2)→hazard | kw:\b(cyclone|typhoon|hurricane)\b(+2)→hazard | kw:\bschool(s)?\b(+2)→exposure | kw:\baffected\b(+2)→loss_impact,,,
f7fdc152-7a54-458e-97dc-70e56b91e57d,Nepal - Standardized Expanded Nutrition Survey (SENS) - 2018,UNHCR - The UN Refugee Agency,UNHCR,Other,health;nutrition,Nepal,WEB APP;PDF,False,False,True,exposure;vulnerability_proxy,medium,0,6,6,2,tag:health(+2)→vulnerability_proxy | tag:nutrition(+2)→vulnerability_proxy | kw:\bfacilit(y|ies)\b(+2)→exposure | kw:\b(population|people|inhabitant)\b(+2)→exposure | kw:\b(displaced|refugee|idp)\b(+2)→exposure | kw:\bmalnutrition\b(+2)→vulnerability_proxy | kw:\baffected\b(+2)→loss_impact,,,
0a9fe303-2463-404f-85f0-85a14adb21b3,"Geodata of Pico de Fogo Volcanic Eruption, Fogo Island, Cape Verde - Impact",United Nations Satellite Centre (UNOSAT),UNOSAT,Other,geodata;natural disasters,Cabo Verde,KMZ,False,False,True,hazard;exposure,medium,5,6,0,2,tag:natural disasters(+3)→hazard | tag:geodata(+2)→exposure | kw:\b(volcan|eruption|lava)\b(+2)→hazard | kw:\broad(s)?\b(+2)→exposure | kw:\b(infrastructure|road|highway|street)\b(+2)→exposure | kw:\baffected\b(+2)→loss_impact,,,
0ce23683-6765-4793-aad0-845cf96370a8,Nepal Census 2011 District Profiles (Education),HDX,Multiple Sources,Other,earthquake-tsunami;education;indicators,Nepal;Nepal Earthquake,XLSX,False,False,True,hazard;exposure,medium,5,6,2,0,tag:earthquake-tsunami(+5)→hazard | tag:education(+2)→vulnerability_proxy | kw:\bschool(s)?\b(+2)→exposure | kw:\b(hospital|school|health.?facility)\b(+2)→exposure | kw:\b(resident|demographic|census)\b(+2)→exposure,,,
