dataset_id,output_id,filename,risk_data_type,spatial_scale,countries_count,license_raw,orgtoken,hazard_suffix,status,reason
0011cee1-7dbf-4a17-8d5e-bb60d1875276,rdls_vln-hdx_world_bank_group_mmr_world_bank_education_indicators_for_myanmar,rdls_vln-hdx_world_bank_group_mmr_world_bank_education_indicators_for_myanmar.json,exposure;vulnerability,national,1,Creative Commons Attribution International (CC BY),world_bank_group,,written,
0013fbe3-4b43-4da0-985a-4fda7f0081dc,rdls_exp-hdx_what3words_inactive_npl_health_infrastructure_nepal_3_word_addresses_multihazard,rdls_exp-hdx_what3words_inactive_npl_health_infrastructure_nepal_3_word_addresses_multihazard.json,exposure;hazard,national,1,Public Domain / No restrictions (CC0),what3words_inactive,multihazard,written,
00186e09-822a-4355-a1cb-1946fce0e816,rdls_exp-hdx_worldpop_mex_worldpop_pregnancies_for_mexico,rdls_exp-hdx_worldpop_mex_worldpop_pregnancies_for_mexico.json,exposure,national,1,Other,worldpop,,written,
001d5cac-9f29-4ad0-af6b-9b359ac12bd9,rdls_lss-hdx_ocha_afghanistan_afg_afghanistan_natural_disaster_incidents_in_2018_multihazard,rdls_lss-hdx_ocha_afghanistan_afg_afghanistan_natural_disaster_incidents_in_2018_multihazard.json,hazard;loss,national,1,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),ocha_afghanistan,multihazard,written,
001f528f-b97a-4bf7-a0d9-70616654425d,rdls_exp-hdx_world_bank_group_kir_world_bank_climate_change_indicators_for_kiribat,rdls_exp-hdx_world_bank_group_kir_world_bank_climate_change_indicators_for_kiribat.json,exposure,national,1,Creative Commons Attribution International (CC BY),world_bank_group,,written,
002c7571-bf9d-4ec3-9884-92b641943294,rdls_exp-hdx_reach_initiative_bgd_reach_bangladesh_who_health_services,rdls_exp-hdx_reach_initiative_bgd_reach_bangladesh_who_health_services.json,exposure,national,1,Creative Commons Attribution International (CC BY),reach_initiative,,written,
002d48bd-169f-4feb-ab5e-48a66f224986,rdls_vln-hdx_united_nations_human_egy_unhabitat_eg_indicators,rdls_vln-hdx_united_nations_human_egy_unhabitat_eg_indicators.json,exposure;vulnerability,national,1,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),united_nations_human,,written,
00303622-fc3e-414d-af4e-634fed42fbb3,rdls_vln-hdx_unesco_hun_unesco_data_for_hungary,rdls_vln-hdx_unesco_hun_unesco_data_for_hungary.json,exposure;vulnerability,national,1,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),unesco,,written,
00381359-780f-4ea6-a994-938852d633d5,rdls_exp-hdx_ourairports_lao_ourairports_lao,rdls_exp-hdx_ourairports_lao_ourairports_lao.json,exposure,national,1,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),ourairports,,written,
0039a481-ced4-48e2-9e41-d046bc1842ee,rdls_vln-hdx_hdx_humanitarian_api_mwi_hdx_hapi_mwi,rdls_vln-hdx_hdx_humanitarian_api_mwi_hdx_hapi_mwi.json,exposure;vulnerability,national,1,Other,hdx_humanitarian_api,,written,
