dataset_id,title,organization,dataset_source,license_title,tags,formats,notes_snippet
edac1807-f0f6-4f07-b6e0-712ecfed95f0,GAR15 Global Exposure Dataset for Ireland,United Nations Office for Disaster Risk Reduction (UNDRR),UNISDR,Other,disaster risk reduction-drr;geodata;hazards and risk,shp,"The GAR15 global exposure database is based on a top-down approach where statistical information including socio-economic, building type, and capital stock at a national level are transposed onto the grids of 5x5 or 1x1 using geographic distribution of population data and gross domestic product (GDP) as proxies."
295b4127-f4a8-4133-b1fb-8906e93f30c3,IOM Bangladesh - Needs and Population Monitoring (NPM) Drone imagery and GIS package by camp (July 2018),International Organization for Migration (IOM),International Organization for Migration,Creative Commons Attribution International (CC BY),needs assessment;refugee crisis;refugees,kml;pdf,"NPM Bangladesh has produced a number of tools based on its regular data collection activities and drone flights. The package of July 2018 is based on <a href=""https://data.humdata.org/dataset/iom-bangladesh-needs-and-population-monitoring-npm-round-11-site-assessment"">NPM Site Assessment 11</a> (as of 22 July) and NPM most updated drone imagery (as…"
09c128cc-26c3-464e-a413-caceb2c9f14c,"San Marino - Economic, Social, Environmental, Health, Education, Development and Energy",World Bank Group,World Bank,Creative Commons Attribution International (CC BY),agriculture-livestock;aid effectiveness;climate-weather;development;economics;education;energy;environment;facilities-infrastructure;gender;health;hxl;indicators;socioeconomics;trade,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a> covering the following topics which also exist as individual datasets on HDX: <a href=""https://data.humdata.org/dataset/world-bank-agriculture-and-rural-development-indicators-for-san-marino"">Agriculture and Rural Development</a>, <a href=""https://data.humdata.…"
6622f80c-2ea2-48e2-a89b-656a402dcf5c,Nigeria - Child Protection 5W for the month of August 2016,UNICEF Nigeria (inactive),"UNICEF Nigeria, Multiple organisations",Public Domain / No restrictions (CC0),protection,csv;xlsx,"Child Protection Sub-Sector working group (CPSWG) - Who is doing what, where,when and for whom (5W) – August 2016"
5ad16930-a50a-419b-b6d1-1bbb93d76c2c,Luxembourg - Social Protection and Labor,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),hxl;indicators;socioeconomics,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-luxembourg"">consolidated country dataset</a> on HDX. The supply of labor available in an economy includes people who are employed, those who are unemployed but seeking…"
52948c12-2790-4d7c-89da-3109526b6067,Sri Lanka - Internal Displacements (New Displacements) – IDPs,Internal Displacement Monitoring Centre (IDMC),IDMC,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),conflict-violence;displacement;hxl;internally displaced persons-idp;natural disasters,csv,"The <a href=""http://www.internal-displacement.org/database/displacement-data"">Global Internal Displacement Database (GIDD)</a>, maintained by the <a href=""https://www.internal-displacement.org/"">Internal Displacement Monitoring Centre (IDMC)</a>, provides comprehensive, validated annual estimates of internal displacement worldwide. It defines inter…"
33a73c04-88a2-48ab-8484-c96282baf76a,Solomon Islands - Gender,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),gender;hxl;indicators,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-solomon-islands"">consolidated country dataset</a> on HDX. Gender equality is a core development objective in its own right. It is also smart development policy and sou…"
2646b9f2-8a07-4e2c-965e-9803ac48108f,Solomon Islands - Population Density,WorldPop,"WorldPop, University of Southampton, UK",Other,baseline population;geodata,geotiff,"<b>WorldPop produces different types of gridded population count datasets, depending on the methods used and end application. Please make sure you have read our <a href=""https://www.worldpop.org/methods/populations"">Mapping Populations</a> overview page before choosing and downloading a dataset.</b> Datasets are available to download in Geotiff and…"
fb290751-bfd4-487a-92c2-7e1f56150602,Africa - Population and Internet users statistics,openAFRICA (inactive),Internetworldstats,Public Domain / No restrictions (CC0),africa;facilities-infrastructure,xlsx,Africa - Population and Internet users statistics
cab6f191-bccf-47eb-931a-8bfefdc20112,Lao PDR - Poverty,World Bank Group,World Bank,Creative Commons Attribution International (CC BY),hxl;indicators;poverty,csv,"Contains data from the World Bank's <a href=""http://data.worldbank.org/"">data portal</a>. There is also a <a href=""https://data.humdata.org/dataset/world-bank-combined-indicators-for-lao-pdr"">consolidated country dataset</a> on HDX. For countries with an active poverty monitoring program, the World Bank—in collaboration with national institutions, …"
